datetime,good,bad,neutral
2019-11-01,0.00,3.00,0.00
2019-11-02,0.00,0.00,0.00
2019-11-03,0.00,0.00,0.00
2019-11-04,17.00,12.50,10.00
2019-11-05,2.00,1.00,0.00
2019-11-06,6.00,39.50,4.00
2019-11-07,8.00,11.50,2.00
2019-11-08,0.00,0.00,0.00
2019-11-09,25.00,4.00,3.00
2019-11-10,1.00,0.50,0.00
2019-11-11,17.00,55.00,7.00
2019-11-12,305.00,851.00,69.00
2019-11-13,42.00,143.00,9.00
2019-11-14,5.00,11.00,6.00
2019-11-15,6.00,19.00,1.00
2019-11-16,20.00,0.00,2.00
2019-11-17,9.00,4.50,3.00
2019-11-18,40.00,85.50,10.00
2019-11-19,20.00,42.00,2.00
2019-11-20,18.00,51.50,6.00
2019-11-21,98.00,20.50,9.00
2019-11-22,25.00,7.00,4.00
2019-11-23,5.00,13.00,3.00
2019-11-24,86.00,27.50,5.00
2019-11-25,72.00,768.50,29.00
2019-11-26,21.00,139.50,8.00
2019-11-27,98.00,420.00,14.00
2019-11-28,24.00,42.00,4.00
2019-11-29,59.00,475.50,13.00
2019-11-30,776.00,49.50,12.00
